DateTime,AddedIPs,RemovedIPs
1498379522,1,0
1498379582,1,0
1498380122,5,0
1498380722,1,4
1498381205,39,20
1498381393,3,6
1498381922,3,0
1498382522,2,0
1498383123,46,22
1498383181,1,0
1498383722,0,1
1498385042,31,127
1498385521,1,1
1498386122,2,3
1498386962,156,32
1498387322,4,1
1498387921,4,0
1498388593,44,17
1498389121,2,1
1498389722,3,3
1498390321,1,0
1498390804,50,33
1498390922,1,2
1498392193,11,7
1498392722,16,5
1498393322,10,0
1498394643,95,187
1498395122,6,1
1498395795,0,5
1498396564,7,81
1498396921,4,0
1498398122,4,5
1498398482,65,0
1498398722,1,0
1498399395,3,3
1498400521,4,8
1498401181,10,3
1498401722,4,0
1498402323,43,11
1498402993,1,0
1498404243,0,84
1498404781,2,3
1498405321,15,10
1498405921,1,0
1498406163,61,0
1498406593,2,8
1498407121,1,0
1498407722,3,1
1498408321,3,0
1498408921,5,0
1498410015,49,43
1498410195,1,6
1498410721,4,1
1498411924,43,51
1498412522,5,2
1498413121,1,1
1498413793,2,7
1498414922,2,8
1498415522,0,3
1498415762,55,8
1498416121,6,3
1498416722,5,0
1498417322,3,5
1498417683,0,100
1498417922,2,0
1498418521,0,2
1498419603,59,0
1498419721,7,7
1498420322,2,0
1498420921,1,2
1498420936,0,1
1498421523,4,68
1498422122,4,2
1498422721,3,3
1498423443,68,2
1498423922,1,4
1498424522,1,0
1498425121,1,6
1498425721,2,0
1498426322,1,2
1498426922,4,3
1498427764,31,8
1498428195,3,2
1498428722,7,6
1498429322,3,2
1498429684,0,123
1498429923,1,1
1498430521,14,0
1498431122,7,1
1498431613,38,0
1498431795,23,10
1498432322,37,0
1498432921,4,1
1498433525,1,68
1498434121,3,0
1498434722,2,0
1498435443,91,66
1498435922,7,1
1498436521,9,0
1498437362,41,1
1498437722,1,0
1498438322,4,3
1498438995,2,2
1498440122,2,0
1498440722,6,0
1498441206,0,58
1498441322,3,0
1498442534,1,0
1498443123,69,0
1498443721,0,1
1498444322,1,0
1498445043,75,159
1498445521,2,4
1498446195,5,3
1498446722,3,3
1498447322,2,0
1498447921,1,1
1498447981,1,0
1498448882,88,0
1498449796,1,6
1498450803,0,97
1498450922,2,1
1498451521,4,0
1498452122,3,0
1498452722,62,1
1498453004,19,8
1498453336,1,1
1498453921,1,0
1498454522,2,7
1498456564,73,122
1498456922,2,1
1498457017,0,3
1498457522,1,1
1498458121,3,3
1498459323,3,0
