DateTime,AddedIPs,RemovedIPs
1498380122,77,77
1498380722,72,72
1498381321,76,76
1498381922,80,80
1498382522,74,74
1498383123,80,80
1498383722,80,80
1498384922,73,73
1498385521,80,80
1498386122,80,80
1498386722,78,78
1498387322,73,73
1498387921,80,80
1498388521,78,78
1498389121,80,80
1498389722,76,76
1498390321,73,73
1498390922,80,80
1498392123,64,64
1498392722,73,73
1498393322,78,78
1498394522,78,78
1498395122,80,80
1498396322,73,73
1498396921,78,78
1498398122,74,74
1498398722,44,44
1498399322,77,77
1498400521,61,61
1498401122,74,74
1498401722,80,80
1498402322,80,80
1498402922,72,72
1498404122,70,70
1498404721,78,78
1498405321,80,80
1498405921,80,80
1498406522,75,75
1498407121,80,80
1498407722,80,80
1498408921,75,75
1498410122,78,78
1498410721,60,60
1498411321,51,51
1498412522,79,79
1498413721,60,60
1498414922,54,54
1498415522,67,67
1498416121,79,79
1498416722,80,80
1498417322,76,76
1498417922,72,72
1498418521,80,80
1498419721,69,69
1498420921,53,53
1498421522,79,79
1498422122,80,80
1498422721,79,79
1498423322,73,73
1498423922,80,80
1498424522,80,80
1498425121,80,80
1498425721,79,79
1498426322,75,75
1498426922,74,74
1498427522,80,80
1498428121,37,37
1498428722,79,79
1498429322,78,78
1498429923,80,80
1498430521,80,80
1498431122,80,80
1498431722,74,74
1498432322,80,80
1498432921,26,26
1498433522,75,75
1498434121,66,66
1498435322,27,27
1498435922,80,80
1498436521,80,80
1498437121,80,80
1498437722,75,75
1498438322,80,80
1498438922,80,80
1498440122,79,79
1498440722,80,80
1498441322,79,79
1498442522,80,80
1498443122,80,80
1498443721,80,80
1498444322,75,75
1498444922,80,80
1498445521,80,80
1498446123,56,56
1498446722,80,80
1498447322,80,80
1498447921,79,79
1498448522,71,71
1498449721,74,74
1498450322,80,80
1498450922,73,73
1498451521,80,80
1498452122,52,52
1498452722,79,79
1498453322,68,68
1498453921,78,78
1498454522,80,80
1498455722,80,80
1498456922,78,78
1498457522,73,73
1498458121,72,72
1498458722,39,39
1498459323,80,80
1498459922,79,79
1498460522,76,76
1498461122,75,75
1498461722,39,39
1498462321,80,80
1498462922,80,80
1498463521,80,80
1498464121,79,79
1498464722,80,80
1498465321,80,80
1498466522,57,57
1498467123,80,80
1498467722,78,78
1498468321,80,80
1498468921,80,80
1498470122,75,75
1498471322,72,72
1498471922,64,64
1498472522,80,80
1498473122,79,79
1498473722,76,76
1498474322,74,74
1498474923,19,19
1498475522,71,71
1498476121,75,75
1498476721,79,79
1498477322,80,80
1498477921,75,75
1498478522,80,80
1498479123,80,80
1498479721,73,73
1498480321,80,80
1498480921,80,80
1498481521,80,80
